matchup,open_odds,best_odds,sharp_action,big_money,pro_systems,model_proj,top_experts,bet_pct,money_pct
Angels @ LAA @ Rangers @ TEX,,+140 / -156,2,2,2,2,2,17%83% / 17% / 83%,
Diamondbacks @ ARI @ Padres @ SD,,+113 / -117,2,2,2,2,2,39%61% / 39% / 61%,
Blue Jays @ TOR @ Giants @ SF,,-104 / +100,2,2,2,2,2,52%48% / 52% / 48%,
Rockies @ COL @ Dodgers @ LAD,,+233 / -257,2,2,2,2,2,5%95% / 5% / 95%,
Brewers @ MIL @ Cardinals @ STL,,-180 / +165,2,2,2,2,2,83%17% / 83% / 17%,
Cubs @ CHC @ Orioles @ BAL,,-112 / +104,2,2,2,2,2,65%35% / 65% / 35%,
Athletics @ ATH @ Tigers @ DET,,+163 / -170,2,2,2,2,2,18%82% / 18% / 82%,
Mariners @ SEA @ Marlins @ MIA,,+108 / -113,2,2,2,2,2,37%63% / 37% / 63%,
Braves @ ATL @ Pirates @ PIT,,+150 / -156,2,2,2,2,2,37%63% / 37% / 63%,
Yankees @ NYY @ Rays @ TB,,+108 / -113,2,2,2,2,2,52%48% / 52% / 48%,
Astros @ HOU @ Nationals @ WSH,,+108 / -113,2,2,2,2,2,40%60% / 40% / 60%,
Phillies @ PHI @ Reds @ CIN,,-163 / +156,2,2,2,2,2,80%20% / 80% / 20%,
Royals @ KC @ Mets @ NYM,,+133 / -144,2,2,2,2,2,27%73% / 27% / 73%,
Guardians @ CLE @ Twins @ MIN,,+104 / -113,2,2,2,2,2,36%64% / 36% / 64%,
Red Sox @ BOS @ White Sox @ CWS,,-117 / +113,2,2,2,2,2,62%38% / 62% / 38%,
Brewers @ MIL @ Cardinals @ STL,,-145 / +120,2,2,2,2,2,80%20% / 80% / 20%,
